id,name
100,Module Board Temperature
1000,Energy AC
1011,Active Power AC
1017,Module Board Temperature
1021,Active Power AC
1027,Module Board Temperature
1031,Active Power AC
1037,Module Board Temperature
104,Active Power AC
1041,DC Current 01
1042,DC Current 02
1043,DC Current 03
1044,DC Current 04
1045,DC Current 05
1046,DC Current 06
1047,DC Current 07
1048,DC Current 08
1049,DC Current 09
1050,DC Current 10
1051,DC Current 11
1056,DC Current 01
1057,DC Current 02
1058,DC Current 03
1059,DC Current 04
1060,DC Current 05
1061,DC Current 06
1062,DC Current 07
1063,DC Current 08
1064,DC Current 09
1065,DC Current 10
1066,DC Current 11
1071,DC Current 12
1073,Active Power
1074,Energy AC
1085,Active Power AC
109,Module Board Temperature
1091,Module Board Temperature
1095,Active Power AC
1101,Module Board Temperature
1105,Active Power AC
1111,Module Board Temperature
1115,DC Current 01
1116,DC Current 02
1117,DC Current 03
1118,DC Current 04
1119,DC Current 05
1120,DC Current 06
1121,DC Current 07
1122,DC Current 08
1123,DC Current 09
1124,DC Current 10
1125,DC Current 11
1130,DC Current 01
1131,DC Current 02
1132,DC Current 03
1133,DC Current 04
1134,DC Current 05
1135,DC Current 06
1136,DC Current 07
1137,DC Current 08
1138,DC Current 09
1139,DC Current 10
1140,DC Current 11
1141,DC Current 12
1146,Active Power
1147,Energy AC
115,DC Current 01
1158,Active Power AC
1164,Module Board Temperature
1168,Active Power AC
1174,Module Board Temperature
1178,Active Power AC
118,DC Current 02
1184,Module Board Temperature
1188,DC Current 01
1189,DC Current 02
119,DC Current 03
1190,DC Current 03
1191,DC Current 04
1192,DC Current 05
1193,DC Current 06
1194,DC Current 07
1195,DC Current 08
1196,DC Current 09
1197,DC Current 10
1198,DC Current 11
120,DC Current 05
1203,DC Current 01
1204,DC Current 02
1205,DC Current 03
1206,DC Current 04
1207,DC Current 05
1208,DC Current 06
1209,DC Current 07
1210,DC Current 08
1211,DC Current 09
1212,DC Current 10
1213,DC Current 11
1214,DC Current 12
1219,Active Power
1220,Energy AC
123,DC Current 04
1231,Active Power AC
1237,Module Board Temperature
1241,Active Power AC
1247,Module Board Temperature
1251,Active Power AC
1257,Module Board Temperature
1261,DC Current 01
1262,DC Current 02
1263,DC Current 03
1264,DC Current 04
1265,DC Current 05
1266,DC Current 06
1267,DC Current 07
1268,DC Current 08
1269,DC Current 09
127,DC Current 11
1270,DC Current 10
1271,DC Current 11
1276,DC Current 01
1277,DC Current 02
1278,DC Current 03
1279,DC Current 04
128,DC Current 10
1280,DC Current 05
1281,DC Current 06
1282,DC Current 07
1283,DC Current 08
1284,DC Current 09
1285,DC Current 10
1286,DC Current 11
1287,DC Current 12
129,DC Current 09
1292,Active Power
1293,Energy AC
130,DC Current 08
1304,Active Power AC
131,DC Current 07
1310,Module Board Temperature
1314,Active Power AC
1320,Module Board Temperature
1324,Active Power AC
1330,Module Board Temperature
1334,DC Current 01
1335,DC Current 02
1336,DC Current 03
1337,DC Current 04
1338,DC Current 05
1339,DC Current 06
1340,DC Current 07
1341,DC Current 08
1342,DC Current 09
1343,DC Current 10
1344,DC Current 11
1349,DC Current 01
1350,DC Current 02
1351,DC Current 03
1352,DC Current 04
1353,DC Current 05
1354,DC Current 06
1355,DC Current 07
1356,DC Current 08
1357,DC Current 09
1358,DC Current 10
1359,DC Current 11
1360,DC Current 12
1365,Active Power
1366,Energy AC
1377,Active Power AC
1383,Module Board Temperature
1387,Active Power AC
1393,Module Board Temperature
1397,Active Power AC
140,DC Current 06
1403,Module Board Temperature
1407,DC Current 01
1408,DC Current 02
1409,DC Current 03
1410,DC Current 04
1411,DC Current 05
1412,DC Current 06
1413,DC Current 07
1414,DC Current 08
1415,DC Current 09
1416,DC Current 10
1417,DC Current 11
142,DC Current 01
1422,DC Current 01
1423,DC Current 02
1424,DC Current 03
1425,DC Current 04
1426,DC Current 05
1427,DC Current 06
1428,DC Current 07
1429,DC Current 08
1430,DC Current 09
1431,DC Current 10
1432,DC Current 11
1433,DC Current 12
1438,Active Power
1439,Energy AC
145,DC Current 02
1450,Active Power AC
1456,Module Board Temperature
146,DC Current 03
1460,Active Power AC
1466,Module Board Temperature
147,DC Current 05
1470,Active Power AC
1476,Module Board Temperature
148,DC Current 04
1480,DC Current 01
1481,DC Current 02
1482,DC Current 03
1483,DC Current 04
1484,DC Current 05
1485,DC Current 06
1486,DC Current 07
1487,DC Current 08
1488,DC Current 09
1489,DC Current 10
149,DC Current 12
1490,DC Current 11
1495,DC Current 01
1496,DC Current 02
1497,DC Current 03
1498,DC Current 04
1499,DC Current 05
150,DC Current 11
1500,DC Current 06
1501,DC Current 07
1502,DC Current 08
1503,DC Current 09
1504,DC Current 10
1505,DC Current 11
1506,DC Current 12
151,DC Current 10
1511,Active Power
1512,Energy AC
152,DC Current 09
1523,Active Power AC
1529,Module Board Temperature
153,DC Current 08
1533,Active Power AC
1539,Module Board Temperature
154,DC Current 07
1543,Active Power AC
1549,Module Board Temperature
155,DC Current 06
1553,DC Current 01
1554,DC Current 02
1555,DC Current 03
1556,DC Current 04
1557,DC Current 05
1558,DC Current 06
1559,DC Current 07
156,Energia Prodotta Display
1560,DC Current 08
1561,DC Current 09
1562,DC Current 10
1563,DC Current 11
1568,DC Current 01
1569,DC Current 02
157,Energia Prelevata Display
1570,DC Current 03
1571,DC Current 04
1572,DC Current 05
1573,DC Current 06
1574,DC Current 07
1575,DC Current 08
1576,DC Current 09
1577,DC Current 10
1578,DC Current 11
1579,DC Current 12
158,Active Power AC
1584,Active Power
1585,Energy AC
1596,Active Power AC
1602,Module Board Temperature
1606,Active Power AC
1612,Module Board Temperature
1616,Active Power AC
1622,Module Board Temperature
1626,DC Current 01
1627,DC Current 02
1628,DC Current 03
1629,DC Current 04
1630,DC Current 05
1631,DC Current 06
1632,DC Current 07
1633,DC Current 08
1634,DC Current 09
1635,DC Current 10
1636,DC Current 11
1641,DC Current 01
1642,DC Current 02
1643,DC Current 03
1644,DC Current 04
1645,DC Current 05
1646,DC Current 06
1647,DC Current 07
1648,DC Current 08
1649,DC Current 09
1650,DC Current 10
1651,DC Current 11
1657,Active Power
1658,Energy AC
1669,Active Power AC
1675,Module Board Temperature
1679,Active Power AC
1685,Module Board Temperature
1689,Active Power AC
1695,Module Board Temperature
1699,DC Current 01
1700,DC Current 02
1701,DC Current 03
1702,DC Current 04
1703,DC Current 05
1704,DC Current 06
1705,DC Current 07
1706,DC Current 08
1707,DC Current 09
1708,DC Current 10
1709,DC Current 11
1714,DC Current 01
1715,DC Current 02
1716,DC Current 03
1717,DC Current 04
1718,DC Current 05
1719,DC Current 06
172,Temperatura Ambiente
1720,DC Current 07
1721,DC Current 08
1722,DC Current 09
1723,DC Current 10
1724,DC Current 11
173,Temperatura Moduli
1730,Active Power
1731,Energy AC
174,Temperatura Cabina
1742,Active Power AC
1748,Module Board Temperature
175,Temperatura Trafo 1
1752,Active Power AC
1758,Module Board Temperature
176,Temperatura Trafo 2
1762,Active Power AC
1768,Module Board Temperature
177,Temperatura Trafo 3
1772,DC Current 01
1773,DC Current 02
1774,DC Current 03
1775,DC Current 04
1776,DC Current 05
1777,DC Current 06
1778,DC Current 07
1779,DC Current 08
1780,DC Current 09
1781,DC Current 10
1782,DC Current 11
1783,DC Current 12
1788,DC Current 01
1789,DC Current 02
1790,DC Current 03
1791,DC Current 04
1792,DC Current 05
1793,DC Current 06
1794,DC Current 07
1795,DC Current 08
1796,DC Current 09
1797,DC Current 10
1798,DC Current 11
1803,Active Power
1804,Energy AC
1815,Active Power AC
182,Active Power
1821,Module Board Temperature
1825,Active Power AC
183,Energy AC
1831,Module Board Temperature
1835,Active Power AC
1841,Module Board Temperature
1845,DC Current 01
1846,DC Current 02
1847,DC Current 03
1848,DC Current 04
1849,DC Current 05
1850,DC Current 06
1851,DC Current 07
1852,DC Current 08
1853,DC Current 09
1854,DC Current 10
1855,DC Current 11
1860,DC Current 01
1861,DC Current 02
1862,DC Current 03
1863,DC Current 04
1864,DC Current 05
1865,DC Current 06
1866,DC Current 07
1867,DC Current 08
1868,DC Current 09
1869,DC Current 10
1870,DC Current 11
1871,DC Current 12
1876,Active Power
1877,Energy AC
1888,Active Power AC
1894,Module Board Temperature
1898,Active Power AC
19,Energy AC
1904,Module Board Temperature
1908,Active Power AC
1914,Module Board Temperature
1918,DC Current 01
1919,DC Current 02
1920,DC Current 03
1921,DC Current 04
1922,DC Current 05
1923,DC Current 06
1924,DC Current 07
1925,DC Current 08
1926,DC Current 09
1927,DC Current 10
1928,DC Current 11
1933,DC Current 01
1934,DC Current 02
1935,DC Current 03
1936,DC Current 04
1937,DC Current 05
1938,DC Current 06
1939,DC Current 07
194,Active Power AC
1940,DC Current 08
1941,DC Current 09
1942,DC Current 10
1943,DC Current 11
1944,DC Current 12
1949,Active Power
1950,Energy AC
1961,Active Power AC
1967,Module Board Temperature
1971,Active Power AC
1977,Module Board Temperature
1981,Active Power AC
1987,Module Board Temperature
1991,DC Current 01
1992,DC Current 02
1993,DC Current 03
1994,DC Current 04
1995,DC Current 05
1996,DC Current 06
1997,DC Current 07
1998,DC Current 08
1999,DC Current 09
200,Module Board Temperature
2000,DC Current 10
2001,DC Current 11
2006,DC Current 01
2007,DC Current 02
2008,DC Current 03
2009,DC Current 04
2010,DC Current 05
2011,DC Current 06
2012,DC Current 07
2013,DC Current 08
2014,DC Current 09
2015,DC Current 10
2016,DC Current 11
2017,DC Current 12
2022,Active Power AC
2026,Energy AC
2036,Temperatura Trafo 1
2037,Temperatura Trafo 2
2038,Temperatura Trafo 3
2039,Temperatura Locale AC
204,Active Power AC
2040,Temperatura Locale DC
2078,Active Power
2079,Energy AC
2090,Active Power AC
2096,Module Board Temperature
210,Module Board Temperature
2100,Active Power AC
2106,Module Board Temperature
2110,Active Power AC
2116,Module Board Temperature
2120,DC Current 01
2121,DC Current 02
2122,DC Current 03
2123,DC Current 04
2124,DC Current 05
2125,DC Current 06
2126,DC Current 07
2127,DC Current 08
2128,DC Current 09
2129,DC Current 10
2130,DC Current 11
2135,DC Current 01
2136,DC Current 02
2137,DC Current 03
2138,DC Current 04
2139,DC Current 05
214,Active Power AC
2140,DC Current 06
2141,DC Current 07
2142,DC Current 08
2143,DC Current 09
2144,DC Current 10
2145,DC Current 11
2151,Active Power
2152,Energy AC
2163,Active Power AC
2169,Module Board Temperature
2173,Active Power AC
2179,Module Board Temperature
2183,Active Power AC
2189,Module Board Temperature
2193,DC Current 01
2194,DC Current 02
2195,DC Current 03
2196,DC Current 04
2197,DC Current 05
2198,DC Current 06
2199,DC Current 07
220,Module Board Temperature
2200,DC Current 08
2201,DC Current 09
2202,DC Current 10
2203,DC Current 11
2208,DC Current 01
2209,DC Current 02
2210,DC Current 03
2211,DC Current 04
2212,DC Current 05
2213,DC Current 06
2214,DC Current 07
2215,DC Current 08
2216,DC Current 09
2217,DC Current 10
2218,DC Current 11
2219,DC Current 12
2224,Active Power
2225,Energy AC
2236,Active Power AC
224,DC Current 01
2242,Module Board Temperature
2246,Active Power AC
225,DC Current 02
2252,Module Board Temperature
2256,Active Power AC
226,DC Current 03
2262,Module Board Temperature
2266,DC Current 01
2267,DC Current 02
2268,DC Current 03
2269,DC Current 04
227,DC Current 04
2270,DC Current 05
2271,DC Current 06
2272,DC Current 07
2273,DC Current 08
2274,DC Current 09
2275,DC Current 10
2276,DC Current 11
228,DC Current 05
2281,DC Current 01
2282,DC Current 02
2283,DC Current 03
2284,DC Current 04
2285,DC Current 05
2286,DC Current 06
2287,DC Current 07
2288,DC Current 08
2289,DC Current 09
229,DC Current 06
2290,DC Current 10
2291,DC Current 11
2292,DC Current 12
230,DC Current 07
231,DC Current 08
232,DC Current 09
233,DC Current 10
2339,DC Current 01
234,DC Current 11
2340,DC Current 02
2341,DC Current 03
2342,DC Current 04
2343,DC Current 05
2344,DC Current 06
2345,DC Current 07
2346,DC Current 08
2347,DC Current 09
2348,DC Current 10
2349,DC Current 11
2354,DC Current 01
2355,DC Current 02
2356,DC Current 03
2357,DC Current 04
2358,DC Current 05
2359,DC Current 06
2360,DC Current 07
2361,DC Current 08
2362,DC Current 09
2363,DC Current 10
2364,DC Current 11
2365,DC Current 12
2370,Active Power
2371,Energy AC
2382,Active Power AC
2388,Module Board Temperature
2392,Active Power AC
2398,Module Board Temperature
240,DC Current 01
2402,Active Power AC
2408,Module Board Temperature
241,DC Current 02
2412,DC Current 01
2413,DC Current 02
2414,DC Current 03
2415,DC Current 04
2416,DC Current 05
2417,DC Current 06
2418,DC Current 07
2419,DC Current 08
242,DC Current 03
2420,DC Current 09
2421,DC Current 10
2422,DC Current 11
2427,DC Current 01
2428,DC Current 02
2429,DC Current 03
243,DC Current 04
2430,DC Current 04
2431,DC Current 05
2432,DC Current 06
2433,DC Current 07
2434,DC Current 08
2435,DC Current 09
2436,DC Current 10
2437,DC Current 11
2438,DC Current 12
244,DC Current 05
2443,Active Power
2444,Energy AC
245,DC Current 06
2455,Active Power AC
246,DC Current 07
2461,Module Board Temperature
2465,Active Power AC
247,DC Current 08
2471,Module Board Temperature
2475,Active Power AC
248,DC Current 09
2481,Module Board Temperature
2485,DC Current 01
2486,DC Current 02
2487,DC Current 03
2488,DC Current 04
2489,DC Current 05
249,DC Current 10
2490,DC Current 06
2491,DC Current 07
2492,DC Current 08
2493,DC Current 09
2494,DC Current 10
2495,DC Current 11
250,DC Current 11
2500,DC Current 01
2501,DC Current 02
2502,DC Current 03
2503,DC Current 04
2504,DC Current 05
2505,DC Current 06
2506,DC Current 07
2507,DC Current 08
2508,DC Current 09
2509,DC Current 10
251,DC Current 12
2510,DC Current 11
2511,DC Current 12
2516,Active Power
2517,Energy AC
2528,Active Power AC
2534,Module Board Temperature
2538,Active Power AC
2544,Module Board Temperature
2548,Active Power AC
2554,Module Board Temperature
2558,DC Current 01
2559,DC Current 02
2560,DC Current 03
2561,DC Current 04
2562,DC Current 05
2563,DC Current 06
2564,DC Current 07
2565,DC Current 08
2566,DC Current 09
2567,DC Current 10
2568,DC Current 11
257,Active Power
2573,DC Current 01
2574,DC Current 02
2575,DC Current 03
2576,DC Current 04
2577,DC Current 05
2578,DC Current 06
2579,DC Current 07
258,Energy AC
2580,DC Current 08
2581,DC Current 09
2582,DC Current 10
2583,DC Current 11
2584,DC Current 12
2589,Active Power
2590,Energy AC
2601,Active Power AC
2607,Module Board Temperature
2611,Active Power AC
2617,Module Board Temperature
2621,Active Power AC
2627,Module Board Temperature
2631,DC Current 01
2632,DC Current 02
2633,DC Current 03
2634,DC Current 04
2635,DC Current 05
2636,DC Current 06
2637,DC Current 07
2638,DC Current 08
2639,DC Current 09
2640,DC Current 10
2641,DC Current 11
2646,DC Current 01
2647,DC Current 02
2648,DC Current 03
2649,DC Current 04
2650,DC Current 05
2651,DC Current 06
2652,DC Current 07
2653,DC Current 08
2654,DC Current 09
2655,DC Current 10
2656,DC Current 11
2661,Active Power
2662,Energy AC
2673,Active Power AC
2679,Module Board Temperature
2683,Active Power AC
2689,Module Board Temperature
269,Active Power AC
2693,Active Power AC
2699,Module Board Temperature
2703,DC Current 01
2704,DC Current 02
2705,DC Current 03
2706,DC Current 04
2707,DC Current 05
2708,DC Current 06
2709,DC Current 07
2710,DC Current 08
2711,DC Current 09
2712,DC Current 10
2713,DC Current 11
2718,DC Current 01
2719,DC Current 02
2720,DC Current 03
2721,DC Current 04
2722,DC Current 05
2723,DC Current 06
2724,DC Current 07
2725,DC Current 08
2726,DC Current 09
2727,DC Current 10
2728,DC Current 11
2733,Active Power
2734,Energy AC
2745,Active Power AC
275,Module Board Temperature
2751,Module Board Temperature
2755,Active Power AC
2761,Module Board Temperature
2765,Active Power AC
2771,Module Board Temperature
2775,DC Current 01
2776,DC Current 02
2777,DC Current 03
2778,DC Current 04
2779,DC Current 05
2780,DC Current 06
2781,DC Current 07
2782,DC Current 08
2783,DC Current 09
2784,DC Current 10
2785,DC Current 11
2786,DC Current 12
279,Active Power AC
2791,DC Current 01
2792,DC Current 02
2793,DC Current 03
2794,DC Current 04
2795,DC Current 05
2796,DC Current 06
2797,DC Current 07
2798,DC Current 08
2799,DC Current 09
2800,DC Current 10
2801,DC Current 11
2806,Active Power
2807,Energy AC
2818,Active Power AC
2824,Module Board Temperature
2828,Active Power AC
2834,Module Board Temperature
2838,Active Power AC
2844,Module Board Temperature
2848,DC Current 01
2849,DC Current 02
285,Module Board Temperature
2850,DC Current 03
2851,DC Current 04
2852,DC Current 05
2853,DC Current 06
2854,DC Current 07
2855,DC Current 08
2856,DC Current 09
2857,DC Current 10
2858,DC Current 11
2863,DC Current 01
2864,DC Current 02
2865,DC Current 03
2866,DC Current 04
2867,DC Current 05
2868,DC Current 06
2869,DC Current 07
2870,DC Current 08
2871,DC Current 09
2872,DC Current 10
2873,DC Current 11
2874,DC Current 12
2879,Active Power
2880,Energy AC
289,Active Power AC
2891,Active Power AC
2897,Module Board Temperature
2901,Active Power AC
2907,Module Board Temperature
2911,Active Power AC
2917,Module Board Temperature
2921,DC Current 01
2922,DC Current 02
2923,DC Current 03
2924,DC Current 04
2925,DC Current 05
2926,DC Current 06
2927,DC Current 07
2928,DC Current 08
2929,DC Current 09
2930,DC Current 10
2931,DC Current 11
2936,DC Current 01
2937,DC Current 02
2938,DC Current 03
2939,DC Current 04
2940,DC Current 05
2941,DC Current 06
2942,DC Current 07
2943,DC Current 08
2944,DC Current 09
2945,DC Current 10
2946,DC Current 11
2947,DC Current 12
295,Module Board Temperature
2952,Active Power
2953,Energy AC
2964,Active Power AC
2970,Module Board Temperature
