,temperature,gti_instant,172,D.156.DELTA,D.171.ISIRR,NEMS4 Temperature (°C),SARAH Global tilted radiation GTI (W/m²)
2025-06-16 21:00:00,19.96,0.0,19.347,0.0,2.475,22.88,0.0
2025-06-16 22:00:00,18.93,0.0,20.022,0.0,2.473,21.96,0.0
2025-06-16 23:00:00,17.94,0.0,18.343,0.0,2.48,20.31,0.0
2025-06-17 00:00:00,16.64,0.0,17.261,0.0,2.472,18.65,0.0
2025-06-17 01:00:00,15.87,0.0,16.503,0.0,2.473,18.75,0.0
2025-06-17 02:00:00,14.87,0.0,16.498,8.0,9.816,18.28,0.0
2025-06-17 03:00:00,15.37,7.35,19.279,104.0,47.554,17.94,4.7275243
2025-06-17 04:00:00,16.53,93.08,24.326,340.0,147.023,20.12,65.13593
2025-06-17 05:00:00,19.6,295.03,28.994,1116.0,340.375,22.96,226.44423
2025-06-17 06:00:00,22.8,526.04,29.471,1740.0,538.361,25.49,444.4402
2025-06-17 07:00:00,25.73,720.87,30.566,2328.0,724.471,27.77,646.3691
2025-06-17 08:00:00,27.43,880.63,31.611,2732.0,876.021,29.2,820.9698
2025-06-17 09:00:00,28.53,986.1,32.59,3264.0,970.581,30.21,945.7247
2025-06-17 10:00:00,29.03,1025.67,33.548,3028.0,993.689,31.08,1014.2845
2025-06-17 11:00:00,29.53,995.0,34.009,2904.0,953.845,31.63,1017.28296
2025-06-17 12:00:00,29.93,896.78,34.384,2616.0,849.108,31.92,953.39124
2025-06-17 13:00:00,30.37,744.75,34.886,2360.0,688.828,31.89,832.4966
2025-06-17 14:00:00,30.67,550.68,35.051,1504.0,487.945,31.69,664.9234
2025-06-17 15:00:00,30.6,342.87,36.193,792.0,276.916,31.4,467.94153
2025-06-17 16:00:00,29.9,144.08,34.278,224.0,89.062,30.96,265.49188
2025-06-17 17:00:00,28.03,23.67,29.613,36.0,20.155,29.5,89.31575
2025-06-17 18:00:00,25.63,0.0,25.9,0.0,2.523,26.28,13.121794
2025-06-17 19:00:00,23.33,0.0,24.196,0.0,2.515,24.55,0.0
2025-06-17 20:00:00,22.0,0.0,23.65,0.0,2.511,23.39,0.0
2025-06-17 21:00:00,21.23,0.0,23.451,0.0,2.529,22.42,0.0
2025-06-17 22:00:00,20.77,0.0,22.858,0.0,2.525,21.21,0.0
2025-06-17 23:00:00,20.34,0.0,22.25,0.0,2.516,20.34,0.0
2025-06-18 00:00:00,19.77,0.0,21.695,0.0,2.514,19.53,0.0
2025-06-18 01:00:00,19.03,0.0,21.02,0.0,2.506,18.62,0.0
2025-06-18 02:00:00,18.13,0.0,21.014,0.0,6.289,17.86,0.0
2025-06-18 03:00:00,17.83,5.91,21.584,108.0,47.823,18.19,9.396369
2025-06-18 04:00:00,18.57,45.05,23.513,416.0,141.18,20.41,49.83099
2025-06-18 05:00:00,20.07,158.44,25.066,772.0,234.365,22.69,133.5673
2025-06-18 06:00:00,21.67,353.37,27.351,1148.0,371.414,24.25,302.71198
2025-06-18 07:00:00,22.87,470.28,28.637,1560.0,500.254,25.62,406.9443
2025-06-18 08:00:00,23.9,667.53,29.983,2128.0,699.258,26.84,601.30334
2025-06-18 09:00:00,24.9,862.18,30.882,3104.0,930.263,27.99,816.2794
2025-06-18 10:00:00,25.9,1025.5,32.103,2936.0,956.162,28.97,1014.07715
2025-06-18 11:00:00,26.83,977.6,32.465,2504.0,856.032,29.81,1002.59766
2025-06-18 12:00:00,27.77,884.14,33.153,2312.0,744.284,30.42,942.51575
2025-06-18 13:00:00,28.43,744.84,34.482,2316.0,680.809,30.25,832.47
2025-06-18 14:00:00,29.03,551.68,35.681,1448.0,477.325,30.1,665.90894
2025-06-18 15:00:00,29.07,332.94,37.493,828.0,283.214,29.73,455.44183
2025-06-18 16:00:00,29.0,144.96,37.204,256.0,102.507,29.16,266.41916
2025-06-18 17:00:00,28.07,22.41,31.222,40.0,22.303,28.45,88.6471
2025-06-18 18:00:00,25.7,0.0,24.598,0.0,2.511,26.97,13.109905
2025-06-18 19:00:00,23.13,0.0,21.864,0.0,2.504,26.22,0.0
2025-06-18 20:00:00,20.87,0.0,20.415,0.0,2.489,25.71,0.0
2025-06-18 21:00:00,20.13,0.0,19.703,0.0,2.474,24.39,0.0
2025-06-18 22:00:00,20.1,0.0,19.624,0.0,2.482,23.01,0.0
2025-06-18 23:00:00,20.3,0.0,18.739,0.0,2.484,21.51,0.0
2025-06-19 00:00:00,20.23,0.0,18.001,0.0,2.485,20.32,0.0
2025-06-19 01:00:00,19.47,0.0,17.312,0.0,2.47,19.47,0.0
2025-06-19 02:00:00,19.0,0.0,17.353,8.0,10.416,18.9,0.0
2025-06-19 03:00:00,18.9,7.4,20.511,100.0,48.82,18.87,2.8345213
2025-06-19 04:00:00,19.93,93.44,26.96,340.0,141.342,21.31,64.34406
2025-06-19 05:00:00,21.73,293.43,32.962,1064.0,329.878,24.47,225.28687
2025-06-19 06:00:00,24.43,520.07,33.27,1684.0,532.361,27.51,439.68112
2025-06-19 07:00:00,26.87,710.46,34.837,2136.0,681.182,29.61,636.8612
2025-06-19 08:00:00,28.73,814.32,35.758,2532.0,835.854,30.63,751.9921
2025-06-19 09:00:00,29.87,965.37,36.597,3192.0,966.694,31.49,927.8526
2025-06-19 10:00:00,30.63,1025.39,37.106,2836.0,946.816,32.28,1013.9055
2025-06-19 11:00:00,31.3,964.31,37.44,2856.0,951.761,33.06,987.53796
2025-06-19 12:00:00,31.87,846.84,38.068,2604.0,845.053,33.53,897.37354
2025-06-19 13:00:00,32.4,717.87,37.853,2364.0,693.404,33.72,801.97327
2025-06-19 14:00:00,32.37,539.41,37.227,1436.0,474.167,33.64,650.46625
2025-06-19 15:00:00,32.27,335.4,38.518,816.0,289.855,33.22,458.24622
2025-06-19 16:00:00,31.87,143.45,38.008,276.0,107.955,32.48,263.59613
2025-06-19 17:00:00,30.53,22.32,33.554,28.0,24.184,31.19,89.272835
2025-06-19 18:00:00,28.23,0.0,27.401,0.0,2.548,28.91,15.257402
2025-06-19 19:00:00,25.13,0.0,24.262,0.0,2.518,27.74,0.0
2025-06-19 20:00:00,23.37,0.0,23.412,0.0,2.519,26.5,0.0
2025-06-19 21:00:00,22.1,0.0,24.381,0.0,2.536,24.12,0.0
2025-06-19 22:00:00,22.07,0.0,24.989,0.0,2.561,22.14,0.0
2025-06-19 23:00:00,21.8,0.0,24.497,0.0,2.533,21.75,0.0
